Year;AC;Province;Judicial District;Population;Proportion of women;Proportion of foreigners;Dependency ratio;Population density;Degree of ageing;Live Births by maternal residence;Marriages;Deaths:;Natural growth;Under 16-year-olds male;Under 16-year-olds female;Total under 16-year-olds;Under 18-year-olds male;Under 18-year-olds female;Total under 18-year-olds
2025;Principado de Asturias;Asturias;Oviedo;241602;0,53363796657312;0,093256678338755;0,57584335620548;598,36541384938;0,051473083832087;1241;902;2561;-1320;14620;13824;28444;16949;15995;32944
2025;Cataluña;Lleida;Balaguer;64980;0,47805478608803;0,19933825792552;0,55488023737168;33,36002967477;0,0054639701521669;430;205;742;-312;4820;4576;9396;5646;5262;10908
2025;Andalucía;Sevilla;Sevilla;1007830;0,52025143129298;0,073075816357918;0,4922502428277;598,04061959746;0,0084593286738749;7145;4002;8615;-1470;76414;71845;148259;88821;83648;172469
2025;Aragón;Huesca;Boltaña;12828;0,47006548175865;0,12963829123792;0,50298769771529;4,3948514044043;0,007146665057284;80;52;108;-28;880;695;1575;1003;809;1812
2025;Principado de Asturias;Asturias;Langreo;38615;0,52306098666321;0,05824161595235;0,62391185499811;462,23365545622;0,28885148258449;162;126;554;-392;2061;1939;4000;2399;2288;4687
2025;Castilla-La Mancha;Albacete;Almansa;44965;0,49149338374291;0,098521071944846;0,54694326899921;27,53521165354;0,025157838812904;292;157;462;-170;3224;2975;6199;3740;3428;7168
2025;Aragón;Huesca;Barbastro;29322;0,49965895914331;0,1499897687743;0,58763333152851;12,015686524867;0,0059890101663448;192;106;353;-161;2027;1900;3927;2309;2202;4511
2025;Cataluña;Lleida;Tremp;24976;0,48086162716208;0,145699871877;0,54382494745951;7,9211186027872;0,0075022021140295;138;80;250;-112;1577;1458;3035;1819;1699;3518
2025;Andalucía;Sevilla;Lora del Río;79291;0,50203680115019;0,047886897630248;0,48964830540317;75,985625646696;0,018807935326834;583;289;718;-135;6255;5845;12100;7253;6798;14051
2025;Andalucía;Huelva;Moguer;51226;0,49422168430094;0,27509467848358;0,37180654490922;83,828629977979;0,026482645531566;412;178;310;102;3936;3739;7675;4579;4297;8876
2025;País Vasco;Araba/Álava;Amurrio;36897;0,50502750901157;0,072200991950565;0,60778247418188;58,453471119636;0,035558446486164;199;107;365;-166;2674;2484;5158;3062;2878;5940
2025;Aragón;Zaragoza;Tarazona;23561;0,48240736810831;0,13140359067951;0,57451216252339;23,521248834017;0,0079861334545469;140;87;311;-171;1576;1420;2996;1864;1631;3495
2025;Aragón;Huesca;Jaca;33342;0,4938815907864;0,11813928378622;0,52066040317431;10,077983371556;0,0087231166050673;217;135;300;-83;2100;2082;4182;2419;2405;4824
2025;Aragón;Zaragoza;Zaragoza;833963;0,51484538282873;0,13856370126732;0,53580952170486;153,36291528617;0,0031649476959557;5284;2818;7706;-2422;60607;57315;117922;70191;66120;136311
2025;Principado de Asturias;Asturias;Laviana;30205;0,51385532196656;0,043502731335872;0,67146256432959;53,776172552002;0,078844562158583;119;97;427;-308;1519;1329;2848;1763;1567;3330
2025;Aragón;Zaragoza;Calatayud;33242;0,48850851332651;0,18557848504903;0,54542073454207;16,218774376892;0,0046360360721711;134;95;417;-283;1932;1794;3726;2322;2100;4422
2025;Comunidad Valenciana;Alicante/Alacant;Ibi;46538;0,49770080364433;0,11732347758821;0,50224345524387;157,27079390334;0,051495552022004;274;166;389;-115;3328;3129;6457;3838;3605;7443
2025;Cataluña;Lleida;Vielha e Mijaran;10651;0,48915594779833;0,20307952304948;0,41091535302689;16,849115540551;0,019518250764143;55;29;66;-11;701;647;1348;799;757;1556
2025;Castilla y León;Segovia;Segovia;102899;0,50958707081701;0,13429673757762;0,53228400393126;57,863689771077;0,004171379403403;644;318;878;-234;7440;7125;14565;8593;8205;16798
2025;Andalucía;Huelva;Aracena;38922;0,4973022969015;0,041801551821592;0,53151806091131;12,560467492104;0,0073861536140934;202;134;428;-226;2501;2466;4967;2886;2826;5712
2025;Galicia;Pontevedra;Marín;35805;0,50663315179444;0,033291439743053;0,54106051476285;532,65396235923;0,12185448959643;147;116;383;-236;2216;1980;4196;2589;2388;4977
2025;Principado de Asturias;Asturias;Villaviciosa;19041;0,50438527388267;0,057402447350454;0,66209846368715;49,19519306172;0,10221802076221;65;83;290;-225;982;905;1887;1139;1068;2207
2025;País Vasco;Gipuzkoa;Donostia-San Sebastián;328270;0,51962104365309;0,098958174673287;0,56734019594737;1139,2330360858;0,022339149868318;1900;1126;3381;-1481;21183;20123;41306;24618;23288;47906
2025;Castilla y León;Zamora;Puebla de Sanabria;7631;0,47634648145721;0,058576857554711;0,83481606155326;4,021225893066;0,015276755743274;22;13;147;-125;266;212;478;294;251;545
2025;Andalucía;Almería;Vélez-Rubio;11457;0,4993453783713;0,16321899275552;0,60058675607712;9,9982544339838;0,066465916033866;64;34;159;-95;694;677;1371;820;779;1599
2025;Cantabria;Cantabria;Medio Cudeyo;52304;0,49711303150811;0,057223156928724;0,52645556690501;62,984995972638;0,011019233710615;313;189;516;-203;3671;3392;7063;4227;3891;8118
2025;Andalucía;Almería;Vera;76074;0,48769619055131;0,31245892157636;0,52535440017645;82,369499667113;0,019494176722665;641;247;614;27;6327;5911;12238;7251;6732;13983
2025;Castilla y León;Palencia;Palencia;120616;0,50963387941898;0,071226039663063;0,62070355540028;32,463275080265;0,0027741613668392;663;353;1457;-794;7696;7162;14858;8870;8174;17044
2025;Andalucía;Sevilla;Sanlúcar la Mayor;121535;0,50313078537047;0,048660879582013;0,44226090877805;99,877551052525;0,0095358332990497;812;448;838;-26;10508;9918;20426;12349;11653;24002
2025;Principado de Asturias;Asturias;Gijón;281555;0,52875992257285;0,076823356005043;0,61385639197299;1123,7926380817;0,14139688515565;1233;956;3497;-2264;15452;14627;30079;18132;17170;35302
2025;Andalucía;Huelva;La Palma del Condado;78475;0,50500159286397;0,13697355845811;0,45910417790008;42,905724457483;0,015980769787715;553;294;715;-162;5974;5785;11759;6955;6678;13633
2025;Principado de Asturias;Asturias;Mieres;40511;0,52050060477401;0,044111475895436;0,65216150081566;167,00058112098;0,1042268355097;157;138;630;-473;1888;1761;3649;2186;2077;4263
2025;Andalucía;Sevilla;Osuna;37623;0,49852483852962;0,030220875528267;0,49505265249354;42,04109973933;0,024290327725062;300;126;389;-89;2933;2629;5562;3397;3030;6427
2025;Andalucía;Almería;Berja;50145;0,48694785123143;0,14575730381893;0,46910614361468;63,975964073232;0,019124538837372;409;164;429;-20;4151;3779;7930;4747;4309;9056
2025;Cataluña;Lleida;"La Seu D'Urgell";22860;0,49440069991251;0,15621172353456;0,51300549341452;14,40980314337;0,0099777300564702;126;79;247;-121;1517;1421;2938;1768;1630;3398
2025;Andalucía;Almería;Purchena;29202;0,48472707348812;0,13557290596534;0,52276164154977;25,42266625637;0,010984244392915;177;108;344;-167;1838;1739;3577;2164;2037;4201
2025;Castilla y León;León;Villablino;10062;0,49781355595309;0,031405287219241;0,63158748175774;10,129564174496;0,066487775790101;35;28;170;-135;291;324;615;357;392;749
2025;Comunidad Valenciana;Alicante/Alacant;Elche/Elx;316077;0,50437393419958;0,15721485587373;0,49346531846532;646,09676443011;0,063277829980247;2230;1072;2369;-139;24690;23469;48159;28595;27149;55744
2025;Castilla y León;Zamora;Villalpando;7049;0,4812030075188;0,069087813874308;0,86728476821192;6,8298307181844;0,013562207405306;18;7;156;-138;208;227;435;245;270;515
2025;Andalucía;Huelva;Huelva;222933;0,51258001282897;0,072371519694258;0,48796587996583;243,09797741178;0,023988148905725;1414;751;1896;-482;17091;15956;33047;20037;18587;38624
2025;Aragón;Huesca;Huesca;84248;0,50217215838952;0,12876270059823;0,58904522992191;21,011834229746;0,0039726583965217;508;263;889;-381;6012;5692;11704;6956;6553;13509
2025;Andalucía;Sevilla;Alcalá de Guadaira;77718;0,50397591291593;0,032630793381199;0,4480175883142;272,76173796289;0,16339844051571;509;317;562;-53;6428;6108;12536;7680;7261;14941
2025;Andalucía;Almería;Huércal-Overa;58738;0,49334332118901;0,32071231570704;0,54781417165143;65,645921266501;0,027180019748715;416;166;529;-113;4437;4213;8650;5107;4829;9936
2025;Andalucía;Huelva;Valverde del Camino;47827;0,50408764923579;0,043845526585402;0,576627657821;16,582356925213;0,013568579347324;302;155;531;-229;3252;3067;6319;3744;3506;7250
2025;Ciudad Autónoma de Ceuta;Ceuta;Ceuta;83567;0,49565019684804;0,063505929374035;0,44177981746347;4205,686787642;0,13687221032226;685;291;522;163;7914;7443;15357;9092;8680;17772
2025;Castilla y León;Segovia;Sepúlveda;17266;0,46559712730221;0,16732306266651;0,63550251018282;7,1200880939804;0,0033785088227345;106;55;268;-162;1031;920;1951;1184;1059;2243
2025;País Vasco;Bizkaia;Gernika-Lumo;96719;0,50488528624159;0,093993941211137;0,5806599225351;162,05452157056;0,006375495806898;530;283;1006;-476;6728;6400;13128;7870;7353;15223
2025;Castilla y León;Segovia;Santa María la Real de Nieva;17783;0,47551031884384;0,13479165495136;0,60496389891697;11,65334211447;0,0067386455228777;73;50;218;-145;938;868;1806;1094;1011;2105
2025;Extremadura;Badajoz;Fregenal de la Sierra;13282;0,50075289865984;0,024017467248908;0,54065653636469;18,236489558343;0,035590595220169;77;38;196;-119;719;741;1460;853;849;1702
2025;Galicia;Lugo;A Fonsagrada;5930;0,46188870151771;0,056998313659359;0,90552699228792;5,952201595698;0,084856661045531;15;12;153;-138;159;158;317;174;172;346
2025;Principado de Asturias;Asturias;Lena;21559;0,50790853008025;0,044157892295561;0,67111076660724;24,026523117626;0,1072715184687;94;73;324;-230;949;929;1878;1121;1082;2203
2025;Canarias;Las Palmas;Arrecife;166878;0,4969798295761;0,24580831505651;0,37184430103991;197,16210194195;0,020379301902331;1099;685;912;187;11831;11337;23168;13757;13113;26870
2025;Extremadura;Badajoz;Don Benito;54302;0,5050826857206;0,043497477072668;0,50692382405994;49,962736769032;0,021730323008361;366;193;524;-158;4252;4015;8267;4823;4598;9421
2025;Galicia;Lugo;Becerreá;8755;0,46944603083952;0,067961165048544;0,85960067969414;10,212651648198;0,066837997334856;32;26;184;-152;285;302;587;328;332;660
2025;Andalucía;Málaga;Vélez-Málaga;112182;0,50402916688952;0,14060187908934;0,51072626149723;211,55637770861;0,011789140965259;758;365;966;-208;8510;8162;16672;9850;9451;19301
2025;Castilla y León;León;León;243005;0,52120738256414;0,074134277072488;0,61311843232012;49,981694567932;0,0036743766255505;1199;630;2815;-1616;14723;13754;28477;17027;15977;33004
2025;Andalucía;Granada;Santa Fe;98942;0,49842331871197;0,052030482504902;0,42604710155372;318,08011224476;0,011616233079312;769;389;590;179;8755;8323;17078;10257;9623;19880
2025;Andalucía;Granada;Motril;100548;0,49663842145045;0,15164896367904;0,48128287099103;165,29072401362;0,013438499877812;719;312;771;-52;7648;7252;14900;8913;8404;17317
2025;Cantabria;Cantabria;Santander;268799;0,52901610497063;0,096949765438115;0,5671674858179;1281,9486905886;0,041372921774263;1426;962;2689;-1263;17044;16310;33354;19909;19087;38996
2025;País Vasco;Bizkaia;Bilbao;506473;0,51971181089614;0,10871458103393;0,55894447830289;1178,666506157;0,012446270581058;2796;1620;5444;-2648;30823;29261;60084;35930;33886;69816
2025;Extremadura;Badajoz;Herrera del Duque;17839;0,49419810527496;0,032288805426313;0,64977342088227;6,6119102358518;0,017549124027659;88;47;304;-216;969;869;1838;1121;1028;2149
2025;Andalucía;Granada;Órgiva;24216;0,48447307565246;0,17034192269574;0,55940498422307;20,554258985243;0,0097726233132576;120;63;293;-173;1426;1296;2722;1672;1497;3169
2025;Castilla-La Mancha;Guadalajara;Guadalajara;267530;0,49444922064815;0,16664299330916;0,44453863640045;44,169970110859;0,0010443785646567;1772;1037;1868;-96;21780;20862;42642;25261;24080;49341
2025;Galicia;Lugo;Chantada;22879;0,50159534944709;0,075178110931422;0,76426588525601;22,988887203553;0,050170774197174;101;53;392;-291;1030;995;2025;1180;1130;2310
2025;Canarias;Las Palmas;Puerto del Rosario;129080;0,48862720793306;0,31299969011466;0,35387713575482;77,727197502424;0,021710050614606;866;528;588;278;9461;8842;18303;10987;10192;21179
2025;Castilla-La Mancha;Albacete;Casas-Ibáñez;20390;0,47900931829328;0,1544384502207;0,56341051985892;14,206881011885;0,012466895537028;137;67;266;-129;1273;1171;2444;1469;1358;2827
2025;Andalucía;Jaen;Úbeda;60857;0,50764907898845;0,030366268465419;0,5013815562244;74,503873263461;0,034739909405108;432;216;584;-152;4297;4005;8302;4996;4707;9703
2025;Extremadura;Badajoz;Castuera;25737;0,4976104441077;0,027042778878657;0,60135639621702;10,751345058489;0,019579926620374;135;83;400;-265;1458;1329;2787;1680;1531;3211
2025;Principado de Asturias;Asturias;Cangas de Onís;19046;0,5096608211698;0,070933529349995;0,63134903640257;23,224846452005;0,048382862543316;80;56;300;-220;1029;974;2003;1183;1123;2306
2025;Canarias;Las Palmas;Las Palmas de Gran Canaria;410717;0,51677919345924;0,092265477202064;0,44681323249154;2483,7748138694;0,069049978452316;2072;1344;3795;-1723;23387;22156;45543;27933;26058;53991
2025;Andalucía;Sevilla;Utrera;101885;0,5055307454483;0,028502723659027;0,47700091329497;109,74020625802;0,034619423860235;778;415;842;-64;8442;8118;16560;9813;9425;19238
2025;Comunidad Valenciana;Alicante/Alacant;Dénia;199100;0,50457056755399;0,38897538925163;0,56856874995076;262,4018115096;0,0073329984932195;1168;658;1801;-633;13365;12683;26048;15425;14602;30027
2025;Cantabria;Cantabria;Santoña;38047;0,50035482429627;0,082582069545562;0,53384398306793;135,0861015531;0,01935544633392;204;176;342;-138;2514;2307;4821;2909;2671;5580
2025;Andalucía;Granada;Granada;522883;0,51820579364791;0,078430547560353;0,49984367156687;193,96496726849;0,0038526415454906;3606;1833;4239;-633;38772;36441;75213;44892;42406;87298
2025;Cataluña;Girona;Ripoll;26081;0,50059430236571;0,12549365438442;0,61652411057394;26,290005286291;0,013145584908554;133;89;343;-210;1717;1641;3358;1982;1890;3872
2025;Galicia;Lugo;Vilalba;28445;0,50725962383547;0,052768500615222;0,71893884457336;22,304555337114;0,054778226987754;147;76;471;-324;1369;1384;2753;1558;1558;3116
2025;Ciudad Autónoma de Melilla;Melilla;Melilla;87067;0,49728370105781;0,13875521150378;0,47603709291878;6114,255716253;0,12678741658723;795;347;434;361;9390;8886;18276;10652;10073;20725
2025;Galicia;Ourense;A Pobra de Trives;10390;0,49220404234841;0,047545717035611;0,99730872741253;8,1916805545169;0,039977250853093;36;22;238;-202;344;321;665;400;364;764
2025;Andalucía;Granada;Loja;70431;0,49510868793571;0,091678380258693;0,51217365166609;35,225715640958;0,010932685891156;507;199;730;-223;5033;4878;9911;5876;5685;11561
2025;Illes Balears;Illes Balears;Manacor;162960;0,49856406480118;0,23155989199804;0,47166130838421;120,99432813449;0,011629847815415;1279;788;1357;-78;13146;12424;25570;15038;14184;29222
2025;Andalucía;Jaen;Martos;52118;0,50168847615027;0,044859741356153;0,51629233096707;68,463709972407;0,026351260600944;384;223;500;-116;3742;3547;7289;4298;4042;8340
2025;Illes Balears;Illes Balears;Ciutadella de Menorca;46137;0,49927390164077;0,13191148102391;0,42578571649309;109,27500803432;0,04408609142337;268;227;300;-32;3130;2961;6091;3644;3412;7056
2025;Canarias;Las Palmas;Arucas;66826;0,49537605123754;0,034223206536378;0,41078365141023;250,20030865641;0,031260287911891;312;305;597;-285;3981;3632;7613;4760;4300;9060
2025;País Vasco;Bizkaia;Durango;111267;0,50543287767263;0,098681549785651;0,56013124132419;220,90372960754;0,009936537299039;625;324;1022;-397;8063;7654;15717;9372;8846;18218
2025;Illes Balears;Illes Balears;Maó;56684;0,50372239079811;0,15365888081293;0,45235594045453;207,26169381118;0,047517818079176;359;254;455;-96;3792;3672;7464;4455;4228;8683
2025;Castilla-La Mancha;Albacete;Alcaraz;8202;0,46378931967813;0,042306754450134;0,65663502322763;4,2087438213565;0,018890657945695;41;25;186;-145;351;314;665;400;374;774
2025;Illes Balears;Illes Balears;Palma;640288;0,50718426707981;0,20782991403868;0,43355655411593;500,7962240661;0,010207722701255;4478;3237;4655;-177;45774;43436;89210;52956;49997;102953
2025;Extremadura;Badajoz;Villafranca de los Barros;27650;0,50546112115732;0,038336347197107;0,53194082774669;27,110501191753;0,027667269439421;174;79;321;-147;1885;1880;3765;2213;2193;4406
2025;Illes Balears;Illes Balears;Inca;167820;0,4964783696818;0,21172685019664;0,46188489246235;165,36759837107;0,0079365079365079;1368;826;1269;99;13844;13092;26936;15891;14914;30805
2025;Andalucía;Jaen;Cazorla;30015;0,4999833416625;0,047243045144095;0,54557157569516;21,810373698603;0,023591537564551;173;95;372;-199;1959;1854;3813;2280;2133;4413
2025;País Vasco;Bizkaia;Barakaldo;264843;0,51658152188278;0,098065646439589;0,57445961049152;2022,0110047922;0,025205876689208;1413;778;2961;-1548;16616;15760;32376;19271;18187;37458
2025;Extremadura;Badajoz;Jerez de los Caballeros;25576;0,50242414763841;0,028855176728183;0,52884213043218;19,634426444937;0,025905362666389;181;84;271;-90;1625;1527;3152;1876;1804;3680
2025;Galicia;Ourense;Verín;26829;0,49785679674979;0,11457750941146;0,79374206057364;20,919297996723;0,036281635543628;90;74;471;-381;1196;1122;2318;1398;1302;2700
2025;Castilla-La Mancha;Albacete;Albacete;198458;0,50570901651735;0,076076550202058;0,48206951144833;59,328858870958;0,011947742091526;1275;632;1626;-351;14927;13925;28852;17286;16119;33405
2025;Castilla y León;León;Cistierna;8862;0,46456781764839;0,029564432408034;0,72782218756093;5,2818224321705;0,022652900022568;26;20;159;-133;293;271;564;347;316;663
2025;Andalucía;Sevilla;Dos Hermanas;142463;0,51077121778988;0,032724286305918;0,44761817664512;891,50811814351;0,15516309497905;1075;642;891;184;12221;11659;23880;14339;13592;27931
2025;Castilla-La Mancha;Albacete;Hellín;54232;0,49135196931701;0,10648694497714;0,52499859400484;15,446531855874;0,017039329603867;366;136;650;-284;3745;3482;7227;4331;4017;8348
2025;Galicia;Pontevedra;A Estrada;23166;0,51890701890702;0,037166537166537;0,68971553610503;51,434281336434;0,15432098765432;103;86;339;-236;1280;1201;2481;1494;1363;2857
2025;Andalucía;Granada;Guadix;45435;0,49499284692418;0,062132717068339;0,55823444680705;21,333389680194;0,0069116386712953;344;175;533;-189;3263;3099;6362;3762;3603;7365
2025;Andalucía;Sevilla;Écija;55147;0,50633760676011;0,033419768981087;0,5049394170942;46,040625735271;0,047867517725352;431;216;464;-33;4339;4211;8550;5014;4840;9854
2025;Canarias;Las Palmas;San Bartolomé de Tirajana;155834;0,49117650833579;0,22873698936047;0,37482796344003;275,14521804668;0,051725981920933;838;531;1002;-164;10353;9588;19941;12187;11137;23324
2025;Andalucía;Sevilla;Morón de la Frontera;48762;0,50486034206964;0,027377876215086;0,51045441873432;54,785686244366;0,04088839670235;327;191;493;-166;3641;3406;7047;4232;3984;8216
2025;Andalucía;Granada;Baza;38022;0,49726474146547;0,10562306033349;0,55719375844698;21,960897391292;0,029361290831624;274;114;456;-182;2631;2421;5052;3058;2781;5839
2025;Andalucía;Jaen;Linares;77145;0,50740812755201;0,041921057748396;0,52132757498669;172,00285600062;0,054472097997278;525;275;760;-235;5376;5098;10474;6318;5986;12304
2025;Aragón;Zaragoza;Ejea de los Caballeros;33022;0,48719035794319;0,16634364968809;0,56717763751127;9,7077274363579;0,006390456090656;189;82;400;-211;2013;2006;4019;2360;2319;4679
2025;Extremadura;Badajoz;Badajoz;179719;0,51293408042555;0,04381840539954;0,5048187626121;64,507433311778;0,020007901223577;1193;565;1552;-359;13708;12705;26413;15953;14694;30647
2025;Comunidad Valenciana;Alicante/Alacant;Orihuela;247566;0,49752389261853;0,31310034495852;0,55493584066628;330,26854894434;0,010042920733403;1703;624;2135;-432;19983;18973;38956;23004;21755;44759
2025;Comunidad Valenciana;Alicante/Alacant;San Vicente del Raspeig;102484;0,50485929510948;0,11739393466297;0,45340575496717;300,96323735568;0,029121618984427;635;410;683;-48;7930;7365;15295;9305;8594;17899
2025;Principado de Asturias;Asturias;Avilés;125139;0,52178777199754;0,054787076770631;0,62174876560009;531,53378854772;0,056797641023182;537;444;1574;-1037;7038;6564;13602;8231;7621;15852
2025;Andalucía;Sevilla;Carmona;74235;0,50011450124604;0,039873375092611;0,468516943285;73,339524058735;0,056370535012685;550;290;607;-57;6236;5823;12059;7299;6761;14060
2025;Extremadura;Badajoz;Zafra;51440;0,50449066874028;0,03349533437014;0,53254878593773;27,798793735063;0,01255832037325;311;146;581;-270;3479;3273;6752;4048;3777;7825
2025;Extremadura;Badajoz;Olivenza;26959;0,50183612151786;0,026410475165993;0,5212165669789;18,834403392689;0,024213723720382;181;87;287;-106;1819;1772;3591;2136;2038;4174
2025;Principado de Asturias;Asturias;Grado;19161;0,49360680549032;0,056729815771619;0,68596568411791;15,62326738467;0,046470882074452;86;53;327;-241;871;804;1675;995;939;1934
2025;Galicia;Lugo;Mondoñedo;31168;0,51697253593429;0,060125770020534;0,7435667934661;25,331393525112;0,03079790461079;121;128;555;-434;1477;1489;2966;1699;1706;3405
2025;País Vasco;Bizkaia;Balmaseda;32511;0,50493679062471;0,080188243978961;0,56709727176323;76,507270037734;0,024065700839716;156;104;304;-148;2245;2041;4286;2590;2373;4963
2025;Andalucía;Jaen;Villacarrillo;52371;0,49029042790858;0,061656260143973;0,52881247080803;15,127295489751;0,010645659038854;364;126;659;-295;3470;3426;6896;4024;3899;7923
2025;Andalucía;Sevilla;Cazalla de la Sierra;21573;0,50229453483521;0,029017753673573;0,51740873602026;9,6779404572586;0,025809010233986;121;72;261;-140;1266;1288;2554;1499;1501;3000
2025;Andalucía;Granada;Huéscar;14914;0,49450181037951;0,085087836931742;0,58289110592231;8,2257815693162;0,043393232309687;107;50;213;-106;889;848;1737;1019;991;2010
2025;Castilla y León;León;Sahagún;6909;0,4706904038211;0,06426400347373;0,8331122313611;5,4502425436809;0,019054855984947;24;16;142;-118;264;279;543;294;313;607
2025;Extremadura;Badajoz;Montijo;36059;0,50092903297374;0,023988463351729;0,53462144103503;70,520016438269;0,022119304473224;230;114;373;-143;2601;2360;4961;3027;2771;5798
2025;La Rioja;La Rioja;Calahorra;77002;0,49411703592114;0,20518947559804;0,54989734712773;49,459810171852;0,0064284044570271;524;273;787;-263;5818;5524;11342;6691;6360;13051
2025;Galicia;Pontevedra;Lalín;39553;0,5073445756327;0,078375850125149;0,66581030997305;38,522897222745;0,049654893434126;211;114;551;-340;2235;2091;4326;2570;2387;4957
2025;Castilla y León;León;La Bañeza;29518;0,49081916118978;0,06728098109628;0,75754688895505;20,470889940782;0,01056366223383;119;70;586;-467;1370;1259;2629;1583;1444;3027
2025;Andalucía;Sevilla;Estepa;45878;0,50034875103535;0,042416844675008;0,48534982355036;77,879441025726;0,018570992632634;347;168;403;-56;3552;3415;6967;4084;3956;8040
2025;Comunidad Valenciana;Alicante/Alacant;Alcoy;97941;0,50342553169765;0,11786687903942;0,53871895178395;157,58048786771;0,0080846778016503;616;334;942;-326;6809;6360;13169;7933;7439;15372
2025;Andalucía;Granada;Almuñécar;30406;0,50194040649872;0,20183516411235;0,5566477243639;170,3417348745;0,05935506150102;177;76;292;-115;2049;1899;3948;2384;2177;4561
2025;Comunidad Valenciana;Alicante/Alacant;Novelda;93407;0,49651525046303;0,13297718586401;0,51374258581013;130,72326322341;0,020569122228527;660;335;765;-105;7071;6433;13504;8172;7516;15688
2025;Principado de Asturias;Asturias;Siero;61007;0,51181012015015;0,042732801153966;0,55400173213103;221,27235671072;0,061128231186585;308;243;731;-423;3781;3670;7451;4429;4261;8690
