Year;AC;Province;Judicial District;Population;Proportion of women;Proportion of foreigners;Dependency ratio;Population density;Degree of ageing;Live Births by maternal residence;Marriages;Deaths:;Natural growth;Under 16-year-olds male;Under 16-year-olds female;Total under 16-year-olds;Under 18-year-olds male;Under 18-year-olds female;Total under 18-year-olds
2025;Comunidad de Madrid;Madrid;San Lorenzo de el Escorial;95225;0,50798634812287;0,1271829876608;0,44696854581371;141,92562525898;0,014171698608559;609;367;576;33;7579;7004;14583;8935;8345;17280
2025;Comunidad Valenciana;Valencia/València;Alzira;146802;0,50576286426615;0,13740957207667;0,50788857389375;263,79989078678;0,0086090522401365;1036;530;1431;-395;11324;10737;22061;13135;12464;25599
2025;Extremadura;Cáceres;Trujillo;29242;0,50013678954928;0,034915532453321;0,59574351978172;12,53069234127;0,012402770610144;168;91;388;-220;1669;1526;3195;1968;1767;3735
2025;Andalucía;Córdoba;Cabra;30288;0,50914553618595;0,035987849973587;0,52254561906198;85,095383166834;0,056053552562071;183;116;319;-136;2008;1901;3909;2345;2176;4521
2025;Comunidad de Madrid;Madrid;Coslada;158841;0,51238030483314;0,16729307924276;0,4954667419856;1903,8834881815;0,051792358396132;968;555;943;25;10954;10409;21363;12818;12078;24896
2025;Castilla y León;Salamanca;Béjar;31412;0,48981281039093;0,06246020629059;0,68845409589336;19,66580896587;0,0044032557141586;134;60;471;-337;1529;1409;2938;1794;1673;3467
2025;Región de Murcia;Murcia;Mula;37608;0,49324611784727;0,12077217613274;0,49415971394517;46,429055543663;0,03746543288662;315;119;330;-15;2967;2847;5814;3432;3278;6710
2025;Extremadura;Cáceres;Navalmoral de la Mata;54993;0,49282635971851;0,11757860091284;0,57091438855086;19,298904275025;0,0054155652868216;320;176;622;-302;3786;3665;7451;4369;4223;8592
2025;Comunidad Valenciana;Valencia/València;Catarroja;108699;0,50781515929309;0,13806014774745;0,4643737622762;2803,6884540693;0,025789434256853;701;421;880;-179;8364;7863;16227;9759;9190;18949
2025;Extremadura;Cáceres;Valencia de Alcántara;7899;0,5014558804912;0,04354981643246;0,7123347062649;5,7341762582808;0,041381820483606;41;18;109;-68;383;342;725;446;396;842
2025;Andalucía;Córdoba;Baena;22171;0,50191691849714;0,031933606964052;0,52106201975851;42,462605321715;0,069956249154301;168;75;241;-73;1560;1600;3160;1812;1853;3665
2025;Comunidad Valenciana;Valencia/València;Sueca;99506;0,50128635459168;0,14531787027918;0,51342225737274;266,05171070211;0,015473582353971;575;331;966;-391;6842;6429;13271;7933;7426;15359
2025;Región de Murcia;Murcia;Lorca;154614;0,4926914768391;0,19947094053579;0,48131754426305;74,632902400914;0,055111438808905;1317;528;1088;229;13628;12918;26546;15633;14704;30337
2025;Extremadura;Cáceres;Cáceres;142914;0,51444924919882;0,034125418083603;0,53509205353498;25,605357707884;0,0056358301103478;852;419;1551;-699;9370;8881;18251;10900;10267;21167
2025;Aragón;Teruel;Teruel;62603;0,49519991054742;0,12481829944252;0,568447161397;8,1107518157079;0,0020561592756008;410;219;763;-353;4320;4163;8483;4956;4764;9720
2025;Canarias;Santa Cruz de Tenerife;Los Llanos de Aridane;42525;0,50377425044092;0,16467960023516;0,46365388586769;99,725621938639;0,0303989250021;177;126;380;-203;2510;2335;4845;2923;2714;5637
2025;Andalucía;Córdoba;Peñarroya-Pueblonuevo;32129;0,50813906439665;0,025459864919543;0,63232230859117;11,932111591798;0,025476841935493;168;97;466;-298;1913;1780;3693;2177;2043;4220
2025;Comunidad de Madrid;Madrid;Valdemoro;157125;0,50361177406523;0,1394876690533;0,40208807388569;349,92093941611;0,016171042163882;1117;604;871;246;13858;13148;27006;16140;15327;31467
2025;Comunidad Valenciana;Valencia/València;Sagunto/Sagunt;103041;0,50884599334246;0,17100959812114;0,52310352982913;377,42574522237;0,013178613367494;579;336;910;-331;7617;7227;14844;8928;8401;17329
2025;Andalucía;Córdoba;Puente Genil;29977;0,50788938185943;0,059478933849284;0,50245589414595;175,2528469171;0,19201387730593;260;127;298;-38;2269;2331;4600;2655;2696;5351
2025;Castilla y León;Burgos;Lerma;8786;0,45083086728887;0,093102663328022;0,69483024691358;6,5880835861553;0,0078146017424415;26;8;140;-114;324;320;644;377;375;752
2025;Castilla y León;Burgos;Salas de los Infantes;9904;0,43992326332795;0,089458804523425;0,76447532513807;6,5235146667284;0,0076947024771136;37;12;175;-138;364;335;699;431;385;816
2025;Extremadura;Cáceres;Plasencia;99947;0,50192602079102;0,044933814921909;0,58883095412202;28,062624024795;0,0043097841856184;555;290;1180;-625;6218;5905;12123;7210;6864;14074
2025;Región de Murcia;Murcia;Yecla;36398;0,49563162811143;0,11528105939887;0,49031650493387;60,134149878168;0,17674048024617;270;131;274;-4;3048;2944;5992;3463;3426;6889
2025;Región de Murcia;Murcia;Totana;101047;0,48822825022019;0,24399536849189;0,48970956803774;98,64017763381;0,035100497788158;792;270;807;-15;8653;8024;16677;9971;9149;19120
2025;Andalucía;Córdoba;Montilla;56824;0,50443474588202;0,032415880613825;0,53536881923804;77,984245273025;0,024533843290003;387;189;548;-161;4005;3841;7846;4611;4461;9072
2025;Región de Murcia;Murcia;Cieza;80179;0,4916499332743;0,13680639568964;0,49788895531311;70,394823792817;0,020574797224543;598;259;705;-107;6565;6179;12744;7478;7130;14608
2025;Cataluña;Tarragona;Tarragona;233763;0,50507137570959;0,20999473826055;0,4779131446346;1084,2942602905;0,013784177860614;1578;718;1741;-163;18781;17755;36536;21837;20502;42339
2025;Comunidad Valenciana;Valencia/València;Moncada;109585;0,51421271159374;0,12223388237441;0,47176931961643;2176,0325585518;0,015693297440343;662;401;813;-151;8158;7659;15817;9548;8983;18531
2025;Andalucía;Córdoba;Córdoba;340705;0,51967831408403;0,040093335877078;0,52500078330267;153,02267838894;0,03574548852135;2303;1357;3117;-814;24636;23430;48066;28740;27221;55961
2025;Castilla y León;Salamanca;Peñaranda de Bracamonte;17311;0,48414303044307;0,040667783490266;0,70618963138183;16,773899707685;0,0101546923221;58;41;274;-216;774;718;1492;918;829;1747
2025;Extremadura;Cáceres;Coria;41527;0,50167360994052;0,025814530305584;0,63447081512969;19,099723322003;0,0081466408735414;183;101;577;-394;2187;2090;4277;2565;2436;5001
2025;Canarias;Santa Cruz de Tenerife;San Cristóbal de la Laguna;207488;0,51613587291795;0,065492944170265;0,41983782119273;1171,6528435031;0,04732080891425;952;721;1692;-740;12438;11692;24130;14712;13776;28488
2025;Región de Murcia;Murcia;Murcia;549364;0,50778718663764;0,13440087082517;0,46700099604519;574,97933726147;0,042234747817476;4272;2267;3859;413;45688;43091;88779;52737;49632;102369
2025;Principado de Asturias;Asturias;Tineo;10212;0,49294947121034;0,051899725812769;0,73408048904738;11,601908496223;0,17371719545633;36;21;196;-160;449;406;855;503;467;970
2025;Castilla y León;León;Ponferrada;117259;0,5141097911461;0,05180838997433;0,64044487968663;39,142960350389;0,0080600048448998;480;352;1656;-1176;6122;5673;11795;7089;6570;13659
2025;Castilla y León;Palencia;Cervera de Pisuerga;22283;0,49656688955706;0,066104204999327;0,64098976360557;10,750296711783;0,010399144546562;107;60;351;-244;1110;1038;2148;1281;1186;2467
2025;Extremadura;Badajoz;Mérida;84447;0,509372742667;0,041742157803119;0,49458426250398;50,523803091608;0,012124468601608;614;261;707;-93;6538;6083;12621;7521;7029;14550
2025;Andalucía;Sevilla;Marchena;45740;0,50378224748579;0,028946217752514;0,49662980171455;66,320611694952;0,062111937035418;312;165;443;-131;3722;3533;7255;4345;4135;8480
2025;Cantabria;Cantabria;Reinosa;17425;0,49750358680057;0,063931133428981;0,70950652408516;17,208006818382;0,028819616538411;78;48;249;-171;950;891;1841;1081;1024;2105
2025;Andalucía;Jaen;Jaén;194453;0,50963986156038;0,043306094531841;0,49793550772644;79,158558372136;0,0088164816400252;1265;671;1897;-632;14192;13219;27411;16524;15433;31957
2025;Castilla y León;Ávila;Arenas de San Pedro;32706;0,49250901975173;0,089494282394668;0,64484007242004;28,205769196525;0,011960088872582;141;109;446;-305;1915;1818;3733;2237;2078;4315
2025;La Rioja;La Rioja;Haro;31367;0,48621162368094;0,13759683744062;0,5831524756473;31,636543242222;0,0051887366353434;163;102;399;-236;2054;1841;3895;2366;2140;4506
2025;Castilla y León;Zamora;Zamora;101235;0,51255000740851;0,052916481454043;0,69977165116357;19,960329633719;0,0028988357422199;463;260;1473;-1010;5321;4913;10234;6125;5722;11847
2025;Comunidad Valenciana;Alicante/Alacant;Villena;53958;0,49894362281775;0,10004077245265;0,52307562028961;83,703828974738;0,029943924639799;321;188;514;-193;4062;3779;7841;4765;4432;9197
2025;País Vasco;Gipuzkoa;Bergara;87922;0,50458360819818;0,090421055026046;0,61168038421352;214,02108107983;0,02295112816939;520;282;975;-455;6257;5924;12181;7234;6866;14100
2025;Cataluña;Lleida;Solsona;21714;0,49143409781708;0,16044947959842;0,5708601606019;13,136593081646;0,0089821525991739;130;90;223;-93;1548;1471;3019;1794;1665;3459
2025;Andalucía;Jaen;Alcalá la Real;37127;0,50682791499448;0,061087618175452;0,58493062966916;57,912306969123;0,06263635629057;244;112;477;-233;2460;2289;4749;2830;2650;5480
2025;Principado de Asturias;Asturias;Pravia;20353;0,51107944774726;0,043335134869552;0,66786855691223;63,774519141834;0,063007910381762;70;67;303;-233;974;913;1887;1139;1053;2192
2025;Comunidad Valenciana;Alicante/Alacant;Torrevieja;153318;0,50777469051253;0,5032155389452;0,58870524843272;738,41930824935;0,040516008122551;883;425;1527;-644;10888;10176;21064;12528;11755;24283
2025;Cataluña;Lleida;Cervera;55426;0,48271569299607;0,25601703171797;0,50708323136743;54,796931383448;0,0052151617572178;430;162;493;-63;4564;4354;8918;5226;4981;10207
2025;Principado de Asturias;Asturias;Cangas del Narcea;13141;0,5062019633209;0,040027395175405;0,70928720083247;10,56223103495;0,11133094893844;52;25;214;-162;572;586;1158;683;674;1357
2025;Andalucía;Sevilla;Coria del Río;65045;0,50569605657622;0,03480667230379;0,45267554046811;112,40236616444;0,032039357367976;446;290;479;-33;5544;5259;10803;6450;6149;12599
2025;Andalucía;Almería;Roquetas de Mar;110054;0,48165446053755;0,30578625038617;0,38920235796064;1844,9957616892;0,11595216893525;940;359;500;440;9922;9529;19451;11372;10897;22269
2025;País Vasco;Gipuzkoa;Irun;80505;0,50960809887585;0,11414197875908;0,56141507787195;1133,394329463;0,12022234643811;472;278;767;-295;5342;5084;10426;6225;5911;12136
2025;Castilla y León;Zamora;Benavente;32965;0,49865008342181;0,063218565144851;0,68886725754393;23,272478310485;0,0056613074472926;127;54;504;-377;1688;1538;3226;1951;1801;3752
2025;Galicia;Pontevedra;Cambados;57818;0,51056764329448;0,044467120965789;0,55008042895442;303,85747210089;0,040915747114509;280;200;598;-318;3520;3405;6925;4134;3939;8073
2025;Andalucía;Almería;El Ejido;99307;0,47588790316896;0,32608980233015;0,41711260470625;397,22799090817;0,054900460189111;1057;230;501;556;10052;9555;19607;11389;10799;22188
2025;Castilla y León;Ávila;Arévalo;17910;0,49112227805695;0,046621998883305;0,64735099337748;14,062168749935;0,0057151586022355;77;29;270;-193;901;845;1746;1040;985;2025
2025;Galicia;Pontevedra;Ponteareas;54712;0,50612297119462;0,05523468343325;0,56893782977747;80,53343568486;0,02848857045377;262;230;631;-369;3315;3029;6344;3861;3540;7401
2025;Aragón;Zaragoza;Caspe;22432;0,47454529243937;0,23203459343795;0,59306867409985;10,95499713782;0,014847650677603;150;47;255;-105;1696;1562;3258;1929;1756;3685
2025;Castilla y León;Palencia;Carrión de los Condes;15803;0,46617730810606;0,074036575333797;0,75745106761566;6,9811103754158;0,0054147459829925;54;31;277;-223;706;639;1345;824;737;1561
2025;Comunidad Valenciana;Alicante/Alacant;Villajoyosa;76695;0,4984809961536;0,2738640067801;0,47729023807689;172,79097137314;0,013611429316495;471;297;664;-193;5625;5358;10983;6586;6206;12792
